id,name
1,Documentary
2,Short
3,Horror
4,Comedy
5,Action
6,Adventure
7,Fantasy
8,Sci-Fi
9,Crime
10,Western
11,Drama
12,Romance
13,History
14,Family
15,War
16,Sport
17,Biography
18,Mystery
19,Thriller
20,Animation
21,Music
22,Musical
23,Film-Noir
24,Adult
25,Talk-Show
26,News
27,Reality-TV
28,Game-Show
